#;Прекурсор;Растворитель;t, C;t, ч;pH;HNO3;CH3COOH;HCl;H2SO4;t1, C;H1, Дж/г;t2, C;H2, Дж/г;A1(C);A2(C);A1(O);A2(O);A1(Fe);A2(Fe);Фазовый состав
1;11;21;150;8;1.5;31;0;0;0;;;;;70.21;69.7;25.92;26.97;3.85;3.25;41
2;12;22;24;24;6;0;0;0;0;114.7;547.4;417.8;-24.07;;;;;;;41
3;12;22;24;24;5;0;0;0;0;;;;;68;66.57;21.47;27.95;10.51;5.46;41
4;13;22;24;24;5.7;0;31;0;0;;;;;;;;;;;41
5;13;22;24;24;9.4;0;0;0;0;;;;;;;;;;;42
6;13;22;24;24;5.7;0;0;0;0;;;;;;;;;;;41
7;13;22;24;24;5.3;0;0;31;0;;;;;;;;;;;41
8;12;22;24;24;2.5;0;0;0;31;;;;;;;;;;;43
9;12;22;24;24;5.5;0;0;0;31;;;;;;;;;;;41
10;12;22;120;24;5;0;0;0;0;;;;;;;;;;;41